"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Xist",23297.7252589429,9.90148290114328,0,0,38.944,56.891,53351.537,39743.53
"Gng4",108.366132998042,7.77396687782969,5.32130580449058e-13,1.43041453548502e-11,0,1.75,188.017,243.697
"Plat",8.13966925432357,6.46577793401589,0.000396909850506793,NA,0,0,16.439,16.12
"Sphk1",63.9525435595901,6.3981767974699,5.29842823807254e-12,1.31646497942752e-10,2.291,0.875,116.098,136.546
"Flrt3",62.0479053479026,6.36881205945228,8.13459852196093e-12,1.97141176260409e-10,1.145,1.75,119.18,126.116
"Cd70",18.1179786030241,6.1757710482399,9.72509250305364e-05,0.000784452174874014,0,0.875,30.822,40.774
"Edn1",6.44066401401138,6.12742469638119,0.00138148427531027,NA,0,0,14.384,11.379
"Stc1",15.2814231902125,5.89656541159754,0.000249253112466239,NA,1.145,0,27.74,32.24
"Sowaha",4.89954351144912,5.73439359752479,0.00502459953799343,NA,0,0,8.219,11.379
"Igfbp6",4.87974977558037,5.72909954483952,0.00522271242895542,NA,0,0,7.192,12.327
"Gm2176",4.80057483210534,5.7074097648024,0.00699632210191201,NA,0,0,3.082,16.12
"Tnip3",377.564468619116,5.69749820615517,1.32679533411391e-63,4.49161682951751e-61,10.309,17.505,730.491,751.953
"Rhov",4.64269009435541,5.65705330467943,0.00640865987051566,NA,0,0,7.192,11.379
"Lrrc32",309.470040242631,5.6253025216409,2.96141212756846e-10,6.08747202617631e-09,20.617,4.376,591.79,621.096
"Tnfsf4",85.3798143686406,5.56867583338807,1.57348562952558e-17,6.19838902714566e-16,5.727,1.75,163.359,170.683
"Gm19589",4.14877699603675,5.49494652074889,0.0102195932020806,NA,0,0,6.164,10.431
"Foxj1",3.81321378466813,5.36816934289676,0.0177849954371335,NA,0,0,13.356,1.896
"Mir155",3.73403884119311,5.34028579743714,0.015284740962581,NA,0,0,9.247,5.689
"Mt2",47.7631633114729,5.21476965938899,9.28223811797860e-11,2.01511995054233e-09,3.436,1.75,73.974,111.892
"Spry4",9.3265115126319,5.20600616035508,0.00266040229167739,NA,0,0.875,17.466,18.965
"Plagl1",55.0986312054546,5.1950829126697,2.76418710279878e-12,7.0127491533066e-11,1.145,4.376,118.153,96.72
"Snca",8.73362973496945,5.11173684170463,0.00381319104980319,NA,0,0.875,11.302,22.758
"Muc1",8.59553873308828,5.08600290046202,0.00380222415721077,NA,0,0.875,16.439,17.068
"Adamts9",8.80163685366372,5.06697785413187,0.0040810610645926,NA,1.145,0,23.631,10.431
"Cyp4f15",3.02285979751825,5.03395361704003,0.0337505149077373,NA,0,0,9.247,2.845
"Nes",2.98327232578074,5.01661799684983,0.0329105380838041,NA,0,0,7.192,4.741
"Slc4a4",2.96347858991198,5.0079233709095,0.0332656768200133,NA,0,0,6.164,5.689
"Socs3",807.72186950239,4.96290916570407,1.56288842940632e-91,1.41089752964655e-88,67.579,35.01,1440.434,1687.865
"Pde10a",2.7858001162933,4.91552132246492,0.0452095115466891,NA,0,0,9.247,1.896
"Trim58",2.72641890868703,4.88713831701982,0.0431542478492932,NA,0,0,6.164,4.741
"Upp1",2.62745022934325,4.83847209696882,0.0570087037263797,NA,0,0,1.027,9.482
"Pdzk1ip1",7.03462449465727,4.7928508051728,0.00911771341010188,NA,0,0.875,9.247,18.017
"Pfpl",2.48935922746207,4.75531385434229,0.0564944446608641,NA,0,0,6.164,3.793
"Trim66",2.46956549159332,4.74488624910723,0.0571340024445541,NA,0,0,5.137,4.741
"Il2ra",481.575328220146,4.73999976562579,5.24353638278196e-72,2.27212918538708e-69,44.671,26.257,955.495,899.879
"Srxn1",123.807479396898,4.73913876303598,3.26793505709763e-25,2.05829751476767e-23,9.163,8.752,226.031,251.283
"Palmd",2.44977175572456,4.73438684871708,0.0586141201774184,NA,0,0,4.11,5.689
"Serpina3h",2.44977175572456,4.73438684871708,0.0586141201774184,NA,0,0,4.11,5.689
"Cldn13",2.41018428398705,4.71302327069407,0.0649643090315032,NA,0,0,2.055,7.586
"Rab20",93.6029862567382,4.67105144907341,3.15756646748978e-19,1.43120993900907e-17,10.309,4.376,189.044,170.683
"Sele",6.62804710170151,4.63978147916366,0.0122164363802435,NA,1.145,0,9.247,16.12
"Igsf10",2.29188701797463,4.63338408288334,0.0803638629618971,NA,0,0,8.219,0.948
"Sult4a1",2.27209328210588,4.62176974310215,0.0760193940763514,NA,0,0,7.192,1.896
"Adamts4",2.21271207449961,4.58705960494385,0.0763906996039117,NA,0,0,4.11,4.741
"Lipg",2.21271207449961,4.58705960494385,0.0763906996039117,NA,0,0,4.11,4.741
"Fzd3",2.19291833863085,4.57532831347571,0.0790532749385909,NA,0,0,3.082,5.689
"Fgfr2",2.1731246027621,4.56343561219847,0.0834275564845075,NA,0,0,2.055,6.638
"Pcdhgc5",2.1731246027621,4.56343561219847,0.0834275564845075,NA,0,0,2.055,6.638
"Serpina11",2.1731246027621,4.56343561219847,0.0834275564845075,NA,0,0,2.055,6.638
"Jdp2",719.730935431043,4.55177750941593,6.56556973046055e-92,6.46589244455265e-89,72.161,47.263,1355.159,1404.342
"Ramp3",48.448477500249,4.54068658269815,3.73846650871677e-11,8.50815287582538e-10,4.582,3.501,96.577,89.134
"Unc80",2.03503360088092,4.46196120151968,0.104219217284987,NA,0,0,7.192,0.948
"Unc93a",2.01523986501217,4.44894523376061,0.0999920336162347,NA,0,0,6.164,1.896
"4930471M09Rik",1.9558586574059,4.40981821573049,0.1031825519979,NA,0,0,3.082,4.741
"Bex1",1.9558586574059,4.40981821573049,0.1031825519979,NA,0,0,3.082,4.741
"Serpina3i",1.9558586574059,4.40981821573049,0.1031825519979,NA,0,0,3.082,4.741
"Tnfsf9",413.326803027201,4.40093336171605,6.30563664983211e-64,2.20351489766552e-61,30.926,42.887,820.904,758.591
"F3",1.93606492153714,4.39650988119014,0.107972113280198,NA,0,0,2.055,5.689
"Scn5a",1.93606492153714,4.39650988119014,0.107972113280198,NA,0,0,2.055,5.689
"Fjx1",1.91627118566839,4.38292172610941,0.116633310821492,NA,0,0,1.027,6.638
"9130015A21Rik",31.987907664416,4.32512850398412,1.25729694802532e-07,1.80880449375277e-06,4.582,1.75,52.398,69.221
"Kcnh4",81.4857499748755,4.27825408505134,1.98412769504184e-16,7.0242010850942e-15,9.163,7.002,131.509,178.269
"Syna",4.98026230710771,4.27528798564401,0.0315247207485748,NA,0,0.875,13.356,5.689
"Fam69c",15.9922177261615,4.27488110156692,0.000258811704881623,NA,3.436,0,22.603,37.93
"Cldn1",226.143906581923,4.2447442454811,8.08953848838029e-40,1.06870695664175e-37,19.472,25.382,426.377,433.345
"Treh",1.7385927120497,4.23775630584653,0.133047889067659,NA,0,0,4.11,2.845
"Uox",1.7385927120497,4.23775630584653,0.133047889067659,NA,0,0,4.11,2.845
"E130309D14Rik",1.71879897618094,4.22281847400847,0.135770453880312,NA,0,0,3.082,3.793
"Rasd1",1.71879897618094,4.22281847400847,0.135770453880312,NA,0,0,3.082,3.793
"Gm4532",1.69900524031219,4.20769365343908,0.140943626775814,NA,0,0,2.055,4.741
"Gpr84",9.67177933807196,4.20194398284111,0.00413435396115704,NA,1.145,0.875,8.219,28.447
"Actc1",1.65941776857468,4.17578992809562,0.188977323788853,NA,0,0,0,6.638
"Cdk18",1.65941776857468,4.17578992809562,0.188977323788853,NA,0,0,0,6.638
"Obsl1",1.65941776857468,4.17578992809562,0.188977323788853,NA,0,0,0,6.638
"Dusp8",8.85393600236555,4.14013142666473,0.00534643288405937,NA,0,1.75,18.493,15.172
"Ccl22",1038.8590077273,4.10529803507551,7.23341199715014e-108,1.30599253608546e-104,100.796,126.034,1920.236,2008.37
"Gstt1",4.42696800118278,4.09983214942178,0.0432017064875157,NA,0,0.875,9.247,7.586
"A430093F15Rik",17.4195918777878,4.0778410450437,9.53004702798791e-05,0.000773325838608188,1.145,2.626,30.822,35.085
"Il1rn",1044.64689718308,4.05301350627536,7.17378661771648e-107,1.11019472042461e-103,127.14,111.155,1862.701,2077.591
"Shf",1.50153303082475,4.02524452674767,0.177942330881882,NA,0,0,4.11,1.896
"Sema3c",1.46194555908723,3.99037116665197,0.185460194485906,NA,0,0,2.055,3.793
"Itm2a",1.44215182321848,3.97249327246634,0.195783160544982,NA,0,0,1.027,4.741
"Mmp19",94.24841987739,3.96297375891998,2.72806634012972e-18,1.16350955364666e-16,10.309,12.253,181.852,172.579
"Slamf1",53.0283378231352,3.95637545111879,4.93459342650219e-11,1.10334656734716e-09,5.727,7.002,114.043,85.341
"AI646023",1.42235808734972,3.95346397348071,0.239227685440779,NA,0,0,0,5.689
"Abca4",1.42235808734972,3.95346397348071,0.239227685440779,NA,0,0,0,5.689
"Adamts18",1.42235808734972,3.95346397348071,0.239227685440779,NA,0,0,0,5.689
"Pdzrn4",1.42235808734972,3.95346397348071,0.239227685440779,NA,0,0,0,5.689
"Stat5a",3296.60017835585,3.90932399309815,4.58494191653086e-172,2.48343378908894e-168,407.765,414.863,6308.32,6055.452
"AI854517",18.5388921666019,3.88225277272107,0.000135471830203704,0.00105428616134822,0,4.376,31.85,37.93
"Zc3h12c",4514.3614739614,3.8660922942307,8.3974746831133e-147,3.03232810807221e-143,649.446,512.015,8579.932,8316.054
"Hc",15.531275189876,3.86227546905103,0.000285962245993651,NA,2.291,1.75,27.74,30.344
"Kif1a",135.866001142678,3.8318792328454,1.03493795764709e-23,6.02767897590911e-22,17.181,18.38,278.429,229.474
"Apold1",11.5586328152744,3.82280421993388,0.00197308956980552,NA,2.291,0.875,17.466,25.602
"Clec4e",67.4375917006059,3.81763010538132,0.0136534831352128,0.0527489952937804,17.181,0.875,103.769,147.925
"1700019A02Rik",1.28426708546855,3.7973561474644,0.27710330693322,NA,0,0,5.137,0
"Jph4",1.28426708546855,3.7973561474644,0.27710330693322,NA,0,0,5.137,0
"Dusp14",7.80372153522909,3.77955878198885,0.0133840943752725,NA,2.291,0,18.493,10.431
"Igf2bp2",1.26447334959979,3.77598546813643,0.241099030057184,NA,0,0,4.11,0.948
"Wwc1",1.26447334959979,3.77598546813643,0.241099030057184,NA,0,0,4.11,0.948
"Gdf15",18.4059548637158,3.76058798020237,0.000111636178154562,0.000885325562187681,3.436,1.75,39.042,29.395
"Bcl2l1",261.389541738296,3.75575425907266,1.48202259146373e-39,1.93430731726826e-37,33.217,38.511,455.144,518.687
"Ddc",1.22488587786228,3.73438278710412,0.245902437563168,NA,0,0,2.055,2.845
"Fxyd6",1.22488587786228,3.73438278710412,0.245902437563168,NA,0,0,2.055,2.845
"Gm15915",1.22488587786228,3.73438278710412,0.245902437563168,NA,0,0,2.055,2.845
"Grm6",1.22488587786228,3.73438278710412,0.245902437563168,NA,0,0,2.055,2.845
"Lix1",1.22488587786228,3.73438278710412,0.245902437563168,NA,0,0,2.055,2.845
"Mpp2",3.68436224765829,3.72197236021607,0.0820397431809295,NA,1.145,0,4.11,9.482
"4933411E08Rik",1.20509214199352,3.71309213941649,0.256645462032072,NA,0,0,1.027,3.793
"Cpa3",1.20509214199352,3.71309213941649,0.256645462032072,NA,0,0,1.027,3.793
"Slc2a13",1.20509214199352,3.71309213941649,0.256645462032072,NA,0,0,1.027,3.793
"Rora",220.218662467012,3.71293807492677,4.33943726737325e-26,2.88399533235917e-24,43.525,20.131,490.076,327.142
"Snai3",11.13272683565,3.69253483696326,0.00463604752030468,NA,3.436,0,28.768,12.327
"E330017L17Rik",1.18529840612477,3.69050157523025,0.304640892389968,NA,0,0,0,4.741
"Rhobtb3",1.18529840612477,3.69050157523025,0.304640892389968,NA,0,0,0,4.741
"S100a2",1.18529840612477,3.69050157523025,0.304640892389968,NA,0,0,0,4.741
"Nr4a3",4206.78038674788,3.67374422348804,6.07426611507546e-10,1.19640954226568e-08,863.637,359.723,7979.922,7623.839
"Nab2",479.601196578072,3.66149933232744,4.5440843782216e-56,1.26220682228909e-53,74.451,66.518,793.163,984.272
"Slc7a11",1129.98475550862,3.64966724583599,3.84952042921095e-17,1.45810681152595e-15,115.686,217.059,2150.377,2036.817
"Myo1d",3.44730256643333,3.61525555322912,0.096596305169493,NA,1.145,0,4.11,8.534
"Gls2",3.2020821233205,3.60703134010831,0.103572338379827,NA,0,0.875,7.192,4.741
"Lmcd1",3.42750883056458,3.60584269282667,0.100555666074863,NA,1.145,0,3.082,9.482
"Vash1",9.89921504669972,3.57770484712394,0.00523837643262639,NA,2.291,0.875,17.466,18.965
"Phldb1",238.111283198981,3.56496075772671,2.15357484622176e-30,1.82263096165003e-28,28.635,44.637,506.515,372.658
"Vdr",38.8456285221864,3.54377734600499,2.04065685097271e-07,2.8232995742768e-06,9.163,3.501,55.48,87.238
"Batf",672.400824392565,3.54335263772213,1.43932059447424e-51,3.1820734693754e-49,134.013,80.522,1097.278,1377.791
"Hivep3",1419.64847426323,3.54109255968434,2.54561934409466e-15,8.40752876663947e-14,289.788,160.169,2941.485,2287.152
"Cish",37.1028124095419,3.52179651406819,1.2156684737718e-07,1.75591154351599e-06,5.727,6.127,73.974,62.584
"Gadd45b",1982.58704057136,3.49898081745969,1.3372373747579e-87,9.65752832050158e-85,264.589,377.228,3487.042,3801.489
"Pvr",617.153967544659,3.48681536124891,4.59524589820034e-59,1.50849390349104e-56,111.104,91.9,1258.582,1007.03
"Calr4",1.02741366837484,3.47533021695983,0.360990239243332,NA,0,0,4.11,0
"Necab2",1.02741366837484,3.47533021695983,0.360990239243332,NA,0,0,4.11,0
"Serpinb9b",1.02741366837484,3.47533021695983,0.360990239243332,NA,0,0,4.11,0
"Stmn2",1.02741366837484,3.47533021695983,0.360990239243332,NA,0,0,4.11,0
"Ndrg1",329.98220682751,3.4613200081101,1.14809412919942e-40,1.61523424696328e-38,66.434,44.637,601.037,607.821
"Rhpn2",1.00761993250608,3.44885616508753,0.324918943006386,NA,0,0,3.082,0.948
"Rnd2",1.00761993250608,3.44885616508753,0.324918943006386,NA,0,0,3.082,0.948
"Rtkn",1.00761993250608,3.44885616508753,0.324918943006386,NA,0,0,3.082,0.948
"Serpine1",1.00761993250608,3.44885616508753,0.324918943006386,NA,0,0,3.082,0.948
"Gm9992",0.987826196637327,3.42293516800542,0.328369498737399,NA,0,0,2.055,1.896
"Hsd17b13",0.987826196637327,3.42293516800542,0.328369498737399,NA,0,0,2.055,1.896
"Nlrp12",0.987826196637327,3.42293516800542,0.328369498737399,NA,0,0,2.055,1.896
"Nov",0.987826196637327,3.42293516800542,0.328369498737399,NA,0,0,2.055,1.896
"Pdilt",0.987826196637327,3.42293516800542,0.328369498737399,NA,0,0,2.055,1.896
"Tex11",0.987826196637327,3.42293516800542,0.328369498737399,NA,0,0,2.055,1.896
"Optn",117.507662699149,3.40886650252598,5.86844652109778e-19,2.57380085680374e-17,18.327,21.881,225.004,204.82
"Gp49a",1230.80395852854,3.40690176860644,3.09075488526201e-11,7.09367535424648e-10,279.479,145.29,2633.261,1865.186
"Olfr1033",3.03256441158969,3.40351808348395,0.130990865329555,NA,1.145,0,7.192,3.793
"Ehd1",1663.58991805706,3.39666993377766,1.47364071843095e-99,1.99549373784531e-96,316.132,262.572,2969.226,3106.43
"Aff2",0.968032460768571,3.39655154320113,0.339188945500873,NA,0,0,1.027,2.845
"Fam100b",0.968032460768571,3.39655154320113,0.339188945500873,NA,0,0,1.027,2.845
"G730013B05Rik",0.968032460768571,3.39655154320113,0.339188945500873,NA,0,0,1.027,2.845
"Mlxipl",0.968032460768571,3.39655154320113,0.339188945500873,NA,0,0,1.027,2.845
"Scrg1",0.968032460768571,3.39655154320113,0.339188945500873,NA,0,0,1.027,2.845
"Tbx5",0.968032460768571,3.39655154320113,0.339188945500873,NA,0,0,1.027,2.845
"Timd4",279.305602379156,3.39337100240831,2.96878247524159e-34,3.1842396588408e-32,60.707,37.635,510.625,508.256
"Hspb1",2.99297693985218,3.38499193758779,0.132954741820469,NA,1.145,0,5.137,5.689
"0610010O12Rik",8.40931498985584,3.38405562506847,0.0119728117088597,NA,1.145,1.75,17.466,13.275
"Cd86",4938.11910467388,3.38314013748889,1.99865872628775e-110,4.33029399637503e-107,963.287,766.71,9539.536,8482.944
"E230025N22Rik",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Epha7",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Gstm7",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Lrrc10b",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Mir5128",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Phyhip",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Pnmal2",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Tdh",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Tead3",0.948238724899815,3.36864888809259,0.390312207026353,NA,0,0,0,3.793
"Nkx1-2",8.63474169709992,3.35980211118613,0.0118072382561188,NA,2.291,0.875,13.356,18.017
"Gm20597",2.72796276087059,3.35820270748208,0.150923635258864,NA,0,0.875,7.192,2.845
"Ccl1",5.94636640796685,3.34098277983723,0.0427028855630097,NA,2.291,0,8.219,13.275
"Ednrb",5.17927836877871,3.33300960731888,0.0555569913874789,NA,0,1.75,12.329,6.638
"Mir5123",2.66858155326432,3.32744166999879,0.154468669535059,NA,0,0.875,4.11,5.689
"Cx3cl1",13.16222222981,3.27065609985581,0.00227453669113975,NA,2.291,2.626,28.768,18.965
"Nfe2l2",3523.86631714344,3.2683471907284,3.05205252800707e-121,8.26572125897515e-118,696.407,630.172,6163.455,6605.431
"Litaf",1511.86029874091,3.24782136518403,7.91192064861583e-85,5.04175508155619e-82,319.569,258.196,2611.686,2857.992
"Lad1",568.610105092037,3.21239256918836,9.5281471192439e-44,1.54057339914581e-41,138.594,84.898,958.577,1092.371
"Prr7",10.2561158461206,3.21011167778427,0.00808942359509803,NA,2.291,1.75,12.329,24.654
"Enthd1",7.40169505734976,3.18277631931367,0.0226131940903071,NA,1.145,1.75,14.384,12.327
"Myl4",2.65694857928345,3.1788818696208,0.219390934038788,NA,1.145,0,0,9.482
"Smad3",437.178506407964,3.17616906144401,4.42176966653952e-43,6.94217837646704e-41,101.941,73.52,826.041,747.212
"Kcng3",59.7241225953742,3.1696083398635,9.33658767578996e-09,1.57298995788231e-07,5.727,17.505,128.427,87.238
"Syt13",2.3721406644331,3.14768742014639,0.207692420233899,NA,0,0.875,1.027,7.586
"Txnrd1",1316.65184594259,3.12375658496778,5.40681713024678e-80,3.25400277622019e-77,247.408,293.205,2435.998,2289.997
"Dnahc9",2.53865131327103,3.10967366191689,0.19166914784273,NA,1.145,0,6.164,2.845
"Snord42a",2.53865131327103,3.10967366191689,0.19166914784273,NA,1.145,0,6.164,2.845
"Slc15a3",1163.15434553171,3.10872486072601,2.76584221937313e-68,1.07008459865961e-65,247.408,236.315,1851.399,2317.495
"Fam83g",9.5845242741833,3.10012585666571,0.0111912400952133,NA,2.291,1.75,14.384,19.913
"Car13",37.2074913484198,3.09457502487629,1.17999191608861e-06,1.41403234811813e-05,5.727,9.628,70.892,62.584
"Rilpl2",996.284085706379,3.09014083352833,3.15460424934368e-44,5.25751197432924e-42,264.589,156.668,1592.491,1971.388
"Bcl2l11",1876.01157125514,3.06411129770165,7.6738866842645e-90,6.39470880389518e-87,375.694,424.491,3479.85,3224.012
"4930525F21Rik",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"AI854703",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Angptl6",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Ccdc27",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Cspg4",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Mir1956",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Omp",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Pdlim3",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Rbpjl",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Slc5a4b",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Tsix",0.770560251281129,3.06018383747925,0.473583016076098,NA,0,0,3.082,0
"Tm4sf19",68.25664167723,3.05585384242194,2.01193471950759e-10,4.21572317532412e-09,18.327,11.378,130.482,112.84
"4930430D24Rik",4.63414482474166,3.04726378641044,0.0799263552467817,NA,1.145,0.875,5.137,11.379
"Fzd6",4.97833394719828,3.04534572961158,0.0800278821626376,NA,2.291,0,7.192,10.431
"Hsbp1l1",2.23404966255192,3.04389737095556,0.222973560598136,NA,0,0.875,6.164,1.896
"Scd4",7.09362119453766,3.04068211805039,0.0345362878441883,NA,2.291,0.875,7.192,18.017
"Mir3109",9.5931501852713,3.03789110634188,0.0157061702222105,NA,3.436,0.875,23.631,10.431
"Itga5",423.616020901731,3.02811561086869,2.31654243333881e-41,3.39123029464316e-39,95.069,90.15,819.876,689.37
"2010110P09Rik",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"4931408A02Rik",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"6430571L13Rik",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"9630028B13Rik",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Akap6",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Aqp12",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Boc",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Dpf1",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"E030011O05Rik",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Frmd3",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Fstl3",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Gm5741",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Kcne4",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Mboat2",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Syngr3",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Syngr4",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Trim43a",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Trpm3",0.750766515412373,3.02518114508319,0.441729681699003,NA,0,0,2.055,0.948
"Gm4934",6.71030974954366,3.02479947793386,0.0368593794915549,NA,1.145,1.75,15.411,8.534
"Gdf6",2.19446219081441,3.01819544713904,0.223970829612622,NA,0,0.875,4.11,3.793
"Fam167a",357.423203901314,3.01796790939569,2.14080820744098e-27,1.53585266961643e-25,106.523,52.514,627.75,642.906
"Sept5",2.17466845494566,3.00554974368757,0.228078340246085,NA,0,0.875,3.082,4.741
"4930487H11Rik",13.5673364120565,3.0013539433397,0.00456892326387323,NA,3.436,2.626,34.932,13.275
"2310043L19Rik",9.03169511745849,2.99950992814282,0.0180239569694284,NA,2.291,1.75,22.603,9.482
"Zbtb32",24.8996928631608,2.99598944406317,8.83323416950947e-05,0.000723830754601332,6.872,4.376,39.042,49.308
"Bcl6b",13.8120917059692,2.99479505950428,0.0036375054045523,NA,4.582,1.75,19.521,29.395
"2210010C17Rik",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"4930550L24Rik",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"9530080O11Rik",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Bmp7",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Cdh6",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Cxcl17",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Cxcr1",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Dync1i1",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"F7",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Foxs1",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Gm5475",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Gpa33",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Gxylt2",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Layn",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Lpar4",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Nts",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Olfr114",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Pcdhb13",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Pcp4l1",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Rhou",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Sh3gl3",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Unc5c",0.730972779543617,2.99038649070191,0.451581036056987,NA,0,0,1.027,1.896
"Clmn",4.15186470040387,2.99021198244975,0.107554486667727,NA,0,1.75,8.219,6.638
"Ms4a8a",2.11528724733939,2.96879590358855,0.283874140858628,NA,0,0.875,0,7.586
"3425401B19Rik",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"AU015836",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Btn1a1",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Crisp1",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Dct",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Esrp1",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Folr1",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Gm3716",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Islr",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"LOC433374",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Mcpt1",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Nnmt",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Nptxr",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Popdc3",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Rnf128",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Slc4a3",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Spdef",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Tfcp2l1",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Tnfrsf11b",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Ucn3",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
"Wnt5a",0.711179043674861,2.95369372862653,0.502852127321372,NA,0,0,0,2.845
