"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Snora44",7.95571302804238,-0.788114182461108,0.505377683889614,NA,11.454,8.752,3.082,8.534
"1810014F10Rik",5.3209280455072,-0.788477188038012,0.583640814941268,NA,9.163,4.376,2.055,5.689
"Cd6",12.8521983046345,-0.788774554461942,0.391818860772198,NA,19.472,13.129,10.274,8.534
"Rnf217",5.37669940630202,-0.789361432845486,0.570389949200832,NA,5.727,7.877,4.11,3.793
"2310047B19Rik",28.6968858247716,-0.789736188353491,0.214147077662259,0.402712077521215,29.781,42.887,17.466,24.654
"Pold1",135.742636693933,-0.789977335558704,0.0115782700956284,0.0464373935379276,151.194,192.553,99.659,99.565
"Gm5129",60.7721042889027,-0.790333041010846,0.141962794985345,0.304893528563886,112.25,42.011,57.535,31.292
"Galnt10",102.179688219244,-0.790573206304145,0.0259698432259032,0.0875058512181055,140.885,118.157,84.248,65.428
"D630037F22Rik",132.066303357063,-0.790864254990678,0.0151456411181684,0.0571881248634084,187.847,147.04,109.933,83.445
"Gtpbp3",48.5136079870072,-0.791042678595859,0.113804476523106,0.260602891978707,49.253,73.52,39.042,32.24
"Smad1",443.954345882563,-0.791395240954731,0.00024607122313243,0.0017759424118545,580.721,545.274,274.319,375.503
"Rbbp9",35.1408046473787,-0.791402562256101,0.162377683880517,0.335138028428333,43.525,45.512,28.768,22.758
"Odf2l",90.6853367435881,-0.791672220652937,0.0538391014814615,0.153282256596234,116.832,112.906,89.385,43.619
"Pofut1",129.595222610101,-0.791672470300886,0.0168361136906305,0.062162787870007,171.811,156.668,114.043,75.859
"Exosc5",189.071282348136,-0.792336285355772,0.00303558683508354,0.0154751689191505,248.553,231.063,132.536,144.132
"Ppp6r2",230.294157990999,-0.792946258988532,0.00235469964006579,0.0124796776912097,258.862,324.714,184.934,152.666
"Acvr2b",13.051076731587,-0.793083197797548,0.417171258291876,NA,13.745,19.255,15.411,3.793
